Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Rate of Pregnant Women with OUD Diagnosis Receiving MAT,Type of Rate,Percent of Pregnant Women with OUD Diagnosis Receiving MAT,Type of Percent,Number of Women with a Delivery and OUD Diagnosis Receiving MAT,Number of Women with a Delivery and OUD Diagnosis Receiving MAT notes,Number of Women with a Delivery and OUD Receiving MAT Description,Number of Women with a Delivery and OUD Diagnosis,Number of Women with a Delivery and OUD Diagnosis notes,Number of Women with a Delivery and OUD Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Column
State,Commonwealth,Female,45 to 49 years,2016,2016 Q4,10/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
County,Allegheny County,Female,12 to 55 years,2016,2016 Q4,10/1/2016-12/31/2016,633.33,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,63.33,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,38,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,60,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,2,02,42,003,40,"(40.4673554298, -79.9861984282)"
State,Commonwealth,Female,25 to 29 years,2016,2016 Q1,1/1/2016-3/31/2016,514.64,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,51.46,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,123,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,239,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
County,Schuylkill County,Female,12 to 55 years,2016,2016 Q4,10/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,54,54,42,107,64,"(40.707512431, -76.223323851)"
County,Luzerne County,Female,12 to 55 years,2016,2016 Q2,4/1/2016-6/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,18,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,40,40,42,079,14,"(41.1783643884, -75.991996098)"
County,Perry County,Female,12 to 55 years,2016,2016 Q2,4/1/2016-6/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,50,50,42,099,61,"(40.4041531744, -77.2590738496)"
County,Elk County,Female,12 to 55 years,2016,2016 Annual,1/1/2016-12/31/2016,812.5,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,81.25,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,13,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,16,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,24,24,42,047,29,"(41.4281941606, -78.6494771322)"
County,Lackawanna County,Female,12 to 55 years,2017,2017 Q2,4/1/2017-6/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,35,35,42,069,22,"(41.4391006428, -75.6121834524)"
County,Franklin County,Female,12 to 55 years,2016,2016 Q4,10/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,13,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,28,28,42,055,33,"(39.9278619704, -77.7239884483)"
County,Lycoming County,Female,12 to 55 years,2016,2016 Annual,1/1/2016-12/31/2016,535.71,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,53.57,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,15,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,28,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,41,41,42,081,15,"(41.3445979226, -77.069424568)"
State,Commonwealth,Female,12 to 19 years,2016,2016 Q2,4/1/2016-6/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
County,Indiana County,Female,12 to 55 years,2016,2016 Q3,7/1/2016-9/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,32,32,42,063,19,"(40.6529549748, -79.0933349286)"
County,Mercer County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,15,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,43,43,42,085,54,"(41.302377765, -80.2600941079)"
County,Armstrong County,Female,12 to 55 years,2017,2017 Q2,4/1/2017-6/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,3,03,42,005,41,"(40.8150952555, -79.4731689893)"
County,Westmoreland County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,540,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,54,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,54,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,100,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,65,65,42,129,24,"(40.3103149985, -79.471341176)"
County,Lehigh County,Female,12 to 55 years,2017,2017 Q4,10/1/2017-12/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,11,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,39,39,42,077,26,"(40.6146479416, -75.6009948118)"
County,Berks County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,11,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,6,06,42,011,45,"(40.4193963513, -75.9307732705)"
County,Butler County,Female,12 to 55 years,2017,2017 Q4,10/1/2017-12/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,10,10,42,019,1,"(40.9108318483, -79.9171177889)"
County,Venango County,Female,12 to 55 years,2017,2017 Q2,4/1/2017-6/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,61,61,42,121,50,"(41.4034125863, -79.7628656104)"
State,Commonwealth,Female,20 to 24 years,2017,2017 Annual,1/1/2017-12/31/2017,521.53,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,52.15,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,218,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,418,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
County,Clinton County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,923.08,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,92.31,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,12,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,13,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,18,18,42,035,9,"(41.2328627374, -77.6428376046)"
County,Bradford County,Female,12 to 55 years,2016,2016 Q2,4/1/2016-6/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,8,08,42,015,34,"(41.7911781401, -76.5182562384)"
County,Mercer County,Female,12 to 55 years,2016,2016 Q4,10/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,13,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,43,43,42,085,54,"(41.302377765, -80.2600941079)"
County,Cumberland County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,21,21,42,041,17,"(40.167598388, -77.268662705)"
County,Adams County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1,01,42,001,39,"(39.8720956503, -77.2222427076)"
State,Commonwealth,Female,45 to 49 years,2017,2017 Q4,10/1/2017-12/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
County,Fayette County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,613.64,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,61.36,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,54,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,88,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,26,26,42,051,31,"(39.919447803, -79.6518963464)"
County,Lebanon County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,722.22,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,72.22,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,13,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,18,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,38,38,42,075,25,"(40.3675970024, -76.4618257486)"
State,Commonwealth,Female,12 to 19 years,2017,2017 Q2,4/1/2017-6/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
County,Chester County,Female,12 to 55 years,2016,2016 Annual,1/1/2016-12/31/2016,297.3,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,29.73,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,11,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,37,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,15,15,42,029,6,"(39.9748705566, -75.7562649818)"
County,Forest County,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,27,27,42,053,32,"(41.5135787577, -79.2378099483)"
County,Jefferson County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,33,33,42,065,20,"(41.1313909115, -79.0010181419)"
County,Northampton County,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,48,48,42,095,59,"(40.754595404, -75.3126372576)"
County,Sullivan County,Female,12 to 55 years,2017,2017 Q2,4/1/2017-6/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,57,57,42,113,67,"(41.4480993958, -76.5147922046)"
County,Columbia County,Female,12 to 55 years,2017,2017 Q4,10/1/2017-12/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,19,19,42,037,10,"(41.0491208559, -76.4100217975)"
County,Westmoreland County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,650,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,65,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,13,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,20,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,65,65,42,129,24,"(40.3103149985, -79.471341176)"
County,Cumberland County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,666.67,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,66.67,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,22,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,33,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,21,21,42,041,17,"(40.167598388, -77.268662705)"
County,Monroe County,Female,12 to 55 years,2016,2016 Q2,4/1/2016-6/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,45,45,42,089,56,"(41.0609178653, -75.3408360302)"
County,Lebanon County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,38,38,42,075,25,"(40.3675970024, -76.4618257486)"
County,Berks County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,12,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,6,06,42,011,45,"(40.4193963513, -75.9307732705)"
State,Commonwealth,Female,50 to 55 years,2016,2016 Q3,7/1/2016-9/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
County,Lawrence County,Female,12 to 55 years,2016,2016 Q3,7/1/2016-9/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,11,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,37,37,42,073,27,"(40.9932503514, -80.3375411446)"
County,Tioga County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,59,59,42,117,48,"(41.7733383358, -77.2578807579)"
County,Potter County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,53,53,42,105,63,"(41.7442064382, -77.8987922939)"
County,Chester County,Female,12 to 55 years,2016,2016 Q3,7/1/2016-9/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,15,15,42,029,6,"(39.9748705566, -75.7562649818)"
County,Lawrence County,Female,12 to 55 years,2016,2016 Q4,10/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,37,37,42,073,27,"(40.9932503514, -80.3375411446)"
County,Wyoming County,Female,12 to 55 years,2017,2017 Q4,10/1/2017-12/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,66,66,42,131,11,"(41.5189248803, -76.0181300338)"
County,Northampton County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,48,48,42,095,59,"(40.754595404, -75.3126372576)"
County,Greene County,Female,12 to 55 years,2017,2017 Q2,4/1/2017-6/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,30,30,42,059,37,"(39.8548039342, -80.2294381655)"
County,Pike County,Female,12 to 55 years,2016,2016 Annual,1/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,52,52,42,103,62,"(41.332571995, -75.0327092448)"
County,Tioga County,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,59,59,42,117,48,"(41.7733383358, -77.2578807579)"
